車両構造機能,ボギー車の長所,①曲線通過が容易　②軸荷重を小さくできる。　③動揺が小さい　④車体長を大きくできる。　⑤脱線しにくい。　⑥高速運転が可能。
車両構造機能,電車重量の伝わり方　ボルスタ付き台車,車体→心皿→上揺れまくら→まくらばね→下揺れまくら→揺れまくらつり→台車枠(台車側ばり)→軸ばね→軸箱→軸受金→車軸→車輪→レール
車両構造機能,電車重量の伝わり方　ボルスタレス台車,車体→空気ばね→台車枠→軸ばね→軸箱→軸受→車軸→車輪→レール
車両構造機能,揺れまくらつりに傾斜が設けられる理由,車体の左右の動揺に対して復元力を発生させるため。
車両構造機能,つり掛け式,主電動機の一端を台車に、他端を車軸受金を介して車両に支持させるもの。
車両構造機能,カルダン式,主電動機を台車枠のみに取り付け、タワミ継手で動力の伝達を行う。
車両構造機能,バネ下重量,台車ばね装置を介せず直接車軸にかかる重量をいう。
車両構造機能,バネ上重量,台車ばね装置を介して車軸にかかる重量でばね下重量以外の台車の部分をいう。
車両構造機能,まくらばね,台車から車体に伝わる振動を低減し、車両の乗り心地を向上させるもの。
車両構造機能,軸ばね,軸箱と台車枠との間の衝撃を緩和するもの。
車両構造機能,側受,心皿荷重の一部を分担するものであり、台車の蛇行動を防ぐ働きを持っている。
車両構造機能,車輪踏面に勾配をつける理由,①走行中に車輪が左右に片寄ったとき軌道中心への復元力を与えるため。　②曲線通過を容易にするため。
車両構造機能,車輪のフランジ,車輪がレール上を回転しながら進むのを誘導する。
車両構造機能,止輪が設けられる理由,タイヤが弛緩した場合に、リムからはずれることを防止するもの。
車両構造機能,電磁弁,電磁コイルの電磁力を利用し、気体の流量を制御するもの。
車両構造機能,オフ電磁弁,通電しないときに機器に圧力空気を送るもの。
車両構造機能,オン電磁弁,コイルを励磁することにより空気の回路を開く。
車両構造機能,オン電磁弁とオフ電磁弁の違い,通電したときに機器に圧力空気を送るか送らないかの違い。
車両構造機能,火花吹消コイル(ブローアウトコイル),電流の遮断時に生じるアークを電磁作用により吹き消し、機器の焼損を防ぐもの。
車両構造機能,ワイプ作用,接触子を有する接触器において、接触子同士が線接触しながら接点の開閉を行う。
車両構造機能,主ヒューズ(主可溶器・メインヒューズ),主回路に規定以上の電流が流れようとするとき、自ら溶断して主回路機器を防護するもの。
車両構造機能,断流器(遮断器),主回路電流を遮断するために接点を開くもの。
車両構造機能,高速度遮断器(自動遮断器),主回路に過大電流が流れた場合、回路を迅速に遮断して、主回路の各機器を保護する。
車両構造機能,避雷器,落雷などによる過電圧から電気機器を保護する。
車両構造機能,主断路器(主開閉器),主回路機器の故障又は点検等の際に主回路の電源を開放する。
車両構造機能,逆転器,主回路を切り換え、主電動機の回転方向を変えることによって、車両の進行方向を前又は後ろに切り換える。
車両構造機能,過電流継電器(過負荷継電器 OLR),回路電流が設定値(作動値)を超過したとき作動する。
車両構造機能,限流継電器,主電動機電流が設定値以下になるとステップ進めの信号を出す。
車両構造機能,主電動機開放器,主電動機が故障した場合、その主電動機を切り放すための開放器。
車両構造機能,短絡渡りと比べた橋絡渡りの利点,渡り段における引張力の大幅な減少がないため、引張力に急激な変化が起こらず円滑な運転ができる。
車両構造機能,抵抗制御法,抵抗器を主電動機と直列に接続し、抵抗を短絡させて、主回路の電流を増加させ速度を制御する。
車両構造機能,直並列制御法,主電動機の接続を直列から並列に変えることにより、主電動機に加える電圧を増加させ速度を制御する。
車両構造機能,チョッパー制御法,直流電源をスイッチング素子を用いて高速でオン・オフする動作によって、平均値として所定の電圧・電流を出力し速度を高める方法。
車両構造機能,VVVFインバーター制御法,直流の電気をインバーター装置内の半導体スイッチを高速で開閉し、交流の電気に変換して、電圧と周波数を変化させることにより、主電動機の回転速度と回転力を制御する。
車両構造機能,チリコシ,電動空気圧縮機に送る空気を浄化するもの。
車両構造機能,調圧器(ガバナー),元空気タンクの空気圧力を一定範囲に保つため、空気圧縮機の起動・停止を制御する。
車両構造機能,安全弁,空気回路の圧力が所定の圧力を超えた場合に作動し、所定圧力に下がるまで圧力空気を放出する。
車両構造機能,踏面ブレーキ装置,車輪踏面と制輪子との間の摩擦力で制動するブレーキ装置。
車両構造機能,保安ブレーキ装置,常用ブレーキ装置と別系統のブレーキ装置で、常用ブレーキ装置が故障したときに運転中の車両のブレーキに使用する。
車両構造機能,デッドマンブレーキ装置,運転士が運転中に意識を失うなどの状態を、主幹制御器などに設置されている検知装置が検知した場合、非常ブレーキを作用させる。
車両構造機能,逆止弁,一方向にだけ流体の流れを許し、反対方向には流れを阻止する働きをもつ弁。
車両構造機能,発電ブレーキ(抵抗ブレーキ),主電動機を発電機として用いて、運動エネルギーを電気エネルギーに変え、それを車両の抵抗器で消費してブレーキを作用させる。
車両構造機能,(電力)回生ブレーキ,主電動機を発電機として用いて、車両の運動エネルギーを電気に変換し、その電力を電車線に返して他の車両の力行電力などで消費することによりブレーキを作用させる。
車両構造機能,電磁ブレーキ,制動時に発生した逆起電力を電磁石として、レール又は車輪に圧着しブレーキ力を得るもの。
車両構造機能,電磁吸着ブレーキ,電磁作用によって磁極となるブレーキパッドをレールに吸着させて、ブレーキパッドとレールとの間の摩擦力によって作用させるブレーキ。
車両構造機能,予備灯継電器,主たる電源が断たれたときに、自動的に予備灯を点灯させる継電器。
車両構造機能,車側表示灯,引戸、開戸などの開閉状態又は機器の作動状態を表示するように、車側に設けられた照明器具。
車両構造機能,戸閉め連動継電器,力行制御回路に設けられ、編成全部の側引戸が閉じた状態でなければ力行できないようにする。
車両構造機能,戸閉め連動継電器の目的,編成全部の側引戸が閉じた状態でなければ力行できないようにする。
車両構造機能,戸閉め連動継電器の機能,編成全部の側引戸が閉じると励磁され、力行(起動)制御回路を構成する。
車両構造機能,戸閉め連動継電器が設けられる理由,全てのドアが閉まった状態でなければ、力行できないようにするために設けている。
車両構造機能,戸閉めスイッチ,戸の開閉に連動して表示灯を点滅させるもの。
車両構造機能,戸閉め保安装置,車両が一定速度以上で走行中、乗務員が誤って扉の開閉スイッチを操作しても扉が開かないようにする。
車両構造機能,排障器,走行中に、レール上の障害物を排除する。
車両構造機能,レベリングバルブ,乗客等による負荷荷重の大小によらず、空気バネ内の圧力を自動的に調整してバネ高さを一定に保つ働きをするもの。
車両構造機能,自動すきま調整器,車輪と制輪子のすきまを一定の値に自動的に調整する機器であり、制輪子の摩耗によるすきまを自動的に調整し一定に保つ。
車両構造機能,応荷重装置,荷重の増減によって変化する加減速度を一定に保つための装置。
車両構造機能,応荷重弁,車両の積載質量に対応して、ブレーキ力を自動的に加減する。
車両構造機能,測重弁,荷重の重さを測り、荷重に応じた圧力の圧縮空気を応荷重弁に出力する。
車両構造機能,車掌弁,ブレーキ管の圧力空気を大気中に排出し、非常ブレーキを作用させる。
車両構造機能,常用ブレーキの作用,ブレーキ制御器を扱うことにより、常用ブレーキ指令線が加圧となることで、常用電磁弁が励磁することから、そのブレーキ指令に応じて供給空気タンクの圧力空気がブレーキシリンダーに送られて作用する。
車両構造機能,非常ブレーキの作用,編成車両間を往復で引通しされている常時加圧の非常ブレーキ指令線が無加圧となることで、非常ブレーキ指令線に接続されている非常電磁弁が励磁しないことにより、圧力空気がブレーキシリンダーに送られて作用する。
車両構造機能,保安ブレーキの作用,常用ブレーキ装置が故障しているとき等に使用するものである。保安ブレーキスイッチを扱うことにより、電磁弁が励磁することとなり、保安空気タンクの圧力空気がブレーキシリンダーに送られて作用する。
車両構造機能,戸閉め装置について,圧力空気によりドアを自動で開閉する戸閉め装置では、圧力調整弁により空気の圧力が調整され、制御空気タンクにためられた圧力空気が使用される。制御空気タンクからドアの戸閉め機械(ドアエンジン)に圧力空気を送る配管に設置されている戸閉めコック(ドアコック)には、異常時にドアを手動で開閉できるように、コックを締め切ると制御空気タンクから戸閉め機械への圧力空気の供給を止め、戸閉め機械に送られた圧力空気を排気する三方コックが用いられている。
運転理論,平均速度,ある区間の距離をその走行時間(停車時分は含まない)で除した速度。
運転理論,表定速度,運転区間の距離を停車時間を含めた所要時間で除した速度。
運転理論,均衡速度,車両を力行させたとき、引張力(けん引力)と列車抵抗とが釣り合うときの速度。
運転理論,平均減速度,ブレーキ時間中の速度差をブレーキ時間で除した値。
運転理論,走行抵抗,車両が平坦直線路を無風時に等速で走行する場合の抵抗。
運転理論,こう配抵抗,こう配区間において、重力のこう配に沿う方向の分力によって列車が受ける抵抗。
運転理論,曲線抵抗,車両が平坦な曲線区間を通過するときに、車輪フランジとレールとの間の摩擦により生ずる抵抗。
運転理論,加速度抵抗,車両が加速する場合の慣性による抵抗
運転理論,ずい道抵抗,車両がトンネル内を通過するとき、前面はもとより側面にも受ける風圧による抵抗。
運転理論,換算勾配,勾配線上に曲線がある場合、この両者を勾配抵抗に換算したもの。
運転理論,カント(高度),曲線部における、外側レールと内側レールの高低差。
運転理論,スラック(拡度),曲線部において軌間を拡大すること。又は、その拡大量。
運転理論,軌間,直線において軌条頭の内側から内側までの最短距離。
運転理論,粘着力,車輪踏面とレール頭部上面との間の転がり摩擦力。
運転理論,粘着係数,車輪と軌条(レール)間の摩擦係数をいう。又は、粘着力をその物体の重量(粘着重量)で除した値。
運転理論,粘着引張力,動輪周とレール面間の摩擦によって制限される引張力をいい、動輪が空転しない範囲の引張力をいう。
運転理論,引張棒引張力,動力車の連結器部分に発生する引張力のことで、動輪周引張力から動力車自身の走行抵抗を除いた引張力。
運転理論,空転(スリップ),出発時、加速時などにおいて、引張力が車輪の粘着力より大きい場合に生じるレールと車輪との間の滑り。
運転理論,空転が発生する理由,車輪の粘着力が何らかの理由で小さくなったこと等により、動輪周引張力が車輪の粘着力より大きくなるため。
運転理論,滑走(スキッド),ブレーキ時に、車輪に及ぼす制動力 (ブレーキカ) が車輪とレールとの間の粘着力より大きい場合に生じる車輪とレールとの間の滑り。
運転理論,(車輪の) フラット,滑走によって生じる車輪踏面の平面状の摩耗。
運転理論,空走時間(距離),ブレーキ時間 (距離) のうち、ブレーキ指令が与えられてから、所定の割合のブレーキカが有効に作用し始めるま での時間 (距離)。
運転理論,実制動時間(距離),実際に制動効果が現れ、 完全停車するまでに走行した時間 (距離)。
運転理論,引張特性,動力車の速度と引張力との関係を表す特性。 
運転理論,運転曲線図(ランカーブ),列車の位置(距離)、速度、 時間の関係を図示したもの。
運転理論,蛇行動,踏面勾配をもつ輪軸がレール上を走行する場合に起こる左右動と、ローリング及びヨーイングとが連成した不安定振動をいう。 
電車線路・軌道建設規定,区分装置(セクションインシュレーター) (セクション) ,事故や保安作業のため電車線を局部的に停止させる目的で、開閉設備によって電気的に区分できるような絶縁装置。
電車線路・軌道建設規定,架空接触器(トロリーコンタクター) (トロコン),車両の到着や通過等を検知するため、 電車線に設けられたパンタグラフの接触により動作する機械的なスイッチ。
電車線路・軌道建設規定,レールボンド,軌条を帰り線として使用する場合、 レールの継目部を電気的に接触するために用いる導線。
電車線路・軌道建設規定,軌道回路,走行軌条を使用し、区分し、 電気回路として車輪により回路構成を行い、信号、転てつ器又は踏切遮断器など作動させる回路。
電車線路・軌道建設規定,併用軌道,一般公衆の通行する道路上に敷設する軌道をいう。
電車線路・軌道建設規定,新設軌道,専用の敷地に敷設した軌道で併用軌道以外の軌道をいう。
電車線路・軌道建設規定,本線路,車両の運転に常用する線路をいう。
電車線路・軌道建設規定,側線路 ,本線路以外の線路をいう。 
電車線路・軌道建設規定,車両偏倚 ,車両が曲線を通過するとき片寄りを生じ、軌道外に車体の一部がはみ出ることをいう。
電車線路・軌道建設規定,枕木,軌間を正しく保ち、電車の荷重を道床に広く伝える役目。
電車線路・軌道建設規定,反向曲線,円の中心がそれぞれ反対にあり連続したもの (通称Sカーブ) 
電車線路・軌道建設規定,緩和曲線 ,直線と曲線との間などに設けられ、それらの間を円滑に接続するように半径が徐々に変化する曲線。
電車線路・軌道建設規定,縦曲線,勾配変更点において、その急変を避けるために挿入される曲線。
電車線路・軌道建設規定,てい減距離,高度と拡度を附設するとき、徐々に軌条を高め、又軌間を広げるのに必要な距離をいう。
電車線路・軌道建設規定,横圧,車輪とレールとの間に働く車軸方向の力。
電車線路・軌道建設規定,脱線係数,横圧を輪重で除した値で、走行安全性を評価する係数。
電車線路・軌道建設規定,鎖錠,信号機、転てつ器などを電気的、機械的に操作できないようにすること。 
電車線路・軌道建設規定,対向,分岐器の前端から後端 (ポイント部からクロッシング部) へ向かって進行すること。
電車線路・軌道建設規定,背向,分岐器の後端から前端 (クロッシング部からポイント部) へ向かって進行すること。 
電車線路・軌道建設規定,曲線の制限,本線路の曲線半径は11メートルより小さくてはならない。 
電車線路・軌道建設規定,勾配の制限,"本線路のこう配は1,000分の40より急ではならない。 (特殊な場合 1,000分の67まで) 停留場においては 1,000分の10より急ではならない。"
電車線路・軌道建設規定,割込み ,転てつ器が不開通の状態のときに、 背向で無理に押し開くこと。
電車線路・軌道建設規定,割出し,発条転てつ器 (スプリングポイント)のようなポイントを背向で進行するとき、 ポイントを押し開き進行すること。
電車線路・軌道建設規定,発条転てつ器(スプリングポイント) ,尖端軌条を常時発条 (スプリング) をもって一方の基本軌条に密着させ、 車両が背向で通過するとき割出すようになっている転てつ器。
電車線路・軌道建設規定,レールのふく進,軌条が車両の発車時、 ブレーキ時に車輪によって縦位置に移動させられる現象。
軌道運転規則,併用軌道,一般公衆の通行する道路上に敷設する軌道をいう。
,新設軌道,専用の敷地に敷設した軌道で併用軌道以外の軌道をいう。
,本線路,車両の運転に常用する線路をいう。
,側線路 ,車庫線及び引込み線をいう。
,第10条　線路の整備,車両を所定の速度で安全に運転させることができる状態に保持しなければならない。
,第24条　障害物,車両から230ミリメートルの間隔を限界とする範囲内の線路上には、物を置いてはならない。但し、工事上の作業のため臨時に必要な物で車両の運転に支障がないときは、この限りでない。
